;Zeit;L Aeq, T=1s;L AFmax, T=1s;
;18.01.2016   09:26:35;51,8 dB(A);52,3 dB(A);
;18.01.2016   09:26:36;54,4 dB(A);56,1 dB(A);
;18.01.2016   09:26:37;52,3 dB(A);53,6 dB(A);
;18.01.2016   09:26:38;52,1 dB(A);52,4 dB(A);
;18.01.2016   09:26:39;52,0 dB(A);52,2 dB(A);
;18.01.2016   09:26:40;52,0 dB(A);52,3 dB(A);
;18.01.2016   09:26:41;51,4 dB(A);51,7 dB(A);
;18.01.2016   09:26:42;53,8 dB(A);55,1 dB(A);
;18.01.2016   09:26:43;51,6 dB(A);52,1 dB(A);
;18.01.2016   09:26:44;51,6 dB(A);51,7 dB(A);
;18.01.2016   09:26:45;51,7 dB(A);52,1 dB(A);
;18.01.2016   09:26:46;52,3 dB(A);52,7 dB(A);
;18.01.2016   09:26:47;54,4 dB(A);55,4 dB(A);
;18.01.2016   09:26:48;52,6 dB(A);53,6 dB(A);
;18.01.2016   09:26:49;53,1 dB(A);54,2 dB(A);
;18.01.2016   09:26:50;52,7 dB(A);53,1 dB(A);
;18.01.2016   09:26:51;53,0 dB(A);53,4 dB(A);
;18.01.2016   09:26:52;52,7 dB(A);53,2 dB(A);
;18.01.2016   09:26:53;52,5 dB(A);52,9 dB(A);
;18.01.2016   09:26:54;54,7 dB(A);57,0 dB(A);
;18.01.2016   09:26:55;52,8 dB(A);54,4 dB(A);
;18.01.2016   09:26:56;53,1 dB(A);53,7 dB(A);
;18.01.2016   09:26:57;52,6 dB(A);53,0 dB(A);
;18.01.2016   09:26:58;53,0 dB(A);53,8 dB(A);
;18.01.2016   09:26:59;55,0 dB(A);56,9 dB(A);
;18.01.2016   09:27:01;52,4 dB(A);53,1 dB(A);
;18.01.2016   09:27:02;52,2 dB(A);52,7 dB(A);
;18.01.2016   09:27:03;52,3 dB(A);52,8 dB(A);
;18.01.2016   09:27:04;55,7 dB(A);57,5 dB(A);
;18.01.2016   09:27:05;52,8 dB(A);53,8 dB(A);
;18.01.2016   09:27:06;52,5 dB(A);52,9 dB(A);
;18.01.2016   09:27:07;53,2 dB(A);53,7 dB(A);
;18.01.2016   09:27:08;53,9 dB(A);54,6 dB(A);
;18.01.2016   09:27:09;55,5 dB(A);57,5 dB(A);
;18.01.2016   09:27:10;54,0 dB(A);54,6 dB(A);
;18.01.2016   09:27:11;52,7 dB(A);53,4 dB(A);
;18.01.2016   09:27:12;52,3 dB(A);52,7 dB(A);
;18.01.2016   09:27:13;51,8 dB(A);52,2 dB(A);
;18.01.2016   09:27:14;51,8 dB(A);52,1 dB(A);
;18.01.2016   09:27:15;54,0 dB(A);55,5 dB(A);
;18.01.2016   09:27:16;52,0 dB(A);52,5 dB(A);
;18.01.2016   09:27:17;51,6 dB(A);51,9 dB(A);
;18.01.2016   09:27:18;51,8 dB(A);52,1 dB(A);
;18.01.2016   09:27:19;53,5 dB(A);56,1 dB(A);
;18.01.2016   09:27:20;55,9 dB(A);57,2 dB(A);
